Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
201501,1.3686
201502,1.6702
201503,1.6158
201504,1.0708
201505,1.2249
201506,1.2409
201507,0.9412
201508,1.0828
201509,1.1569
201510,1.3212
201511,1.2828
201512,1.8722
